Detector;Time;qPKW;qLKW;vPKW;vLKW
320209307_0;40137;1;0;0;0
320209307_0;40138;2;0;0;0
320209307_0;40140;5;0;0;0
320209307_0;40141;3;0;0;0
320209307_0;40142;2;0;0;0
320209307_0;40143;1;0;0;0
320209307_0;40144;1;0;0;0
320209307_0;40145;1;0;0;0
320209307_0;40146;4;0;0;0
320209307_0;40147;1;0;0;0
320209307_0;40149;2;0;0;0
320209307_0;40150;1;0;0;0
320209307_0;40153;1;0;0;0
320209307_0;40155;1;0;0;0
320209307_0;40164;1;0;0;0
320209307_0;40167;1;0;0;0
320209307_0;40168;1;0;0;0
320209307_0;40171;1;0;0;0
320209307_0;40172;1;0;0;0
320209307_0;40176;1;0;0;0
320209307_0;40178;4;0;0;0
320209307_0;40180;1;0;0;0
320209307_0;40182;1;0;0;0
320209307_0;40183;1;0;0;0
320209307_0;40185;1;0;0;0
320209307_0;40186;1;0;0;0
320209307_0;40187;1;0;0;0
320209307_0;40189;1;0;0;0
320209307_0;40192;1;0;0;0
320209307_0;40193;1;0;0;0
320209307_0;40194;1;0;0;0
320209307_0;40197;1;0;0;0
320209307_0;40199;1;0;0;0
320209307_0;40200;2;0;0;0
320209307_0;40201;2;0;0;0
320209307_0;40206;2;0;0;0
320209307_0;40211;1;0;0;0
320209307_0;40214;2;0;0;0
320209307_0;40217;1;0;0;0
320209307_0;40219;1;0;0;0
320209307_0;40220;1;0;0;0
320209307_0;40221;1;0;0;0
320209307_0;40222;1;0;0;0
320209307_0;40225;1;0;0;0
320209307_0;40226;1;0;0;0
320209307_0;40227;2;0;0;0
320209307_0;40229;1;0;0;0
320209307_0;40230;1;0;0;0
320209307_0;40231;1;0;0;0
320209307_0;40233;1;0;0;0
320209307_0;40235;1;0;0;0
320209307_0;40236;1;0;0;0
320209307_0;40237;1;0;0;0
320209307_0;40238;2;0;0;0
320209307_0;40239;1;0;0;0
320209307_0;40240;1;0;0;0
320209307_0;40242;1;0;0;0
320209307_0;40244;2;0;0;0
320209307_0;40245;2;0;0;0
320209307_0;40248;2;0;0;0
320209307_0;40249;1;0;0;0
320209307_0;40250;2;0;0;0
320209307_0;40251;1;0;0;0
320209307_0;40252;1;0;0;0
320209307_0;40253;1;0;0;0
320209307_0;40256;1;0;0;0
320209307_0;40257;2;0;0;0
320209307_0;40258;1;0;0;0
320209307_0;40260;1;0;0;0
320209307_0;40264;1;0;0;0
320209307_0;40266;1;0;0;0
320209307_0;40268;1;0;0;0
320209307_0;40271;2;0;0;0
320209307_0;40272;1;0;0;0
320209307_0;40278;1;0;0;0
320209307_0;40284;1;0;0;0
320209307_0;40290;1;0;0;0
320209307_0;40291;1;0;0;0
320209307_0;40294;2;0;0;0
320209307_0;40296;1;0;0;0
320209307_0;40297;1;0;0;0
320209307_0;40298;1;0;0;0
320209307_0;40299;2;0;0;0
320209307_0;40301;1;0;0;0
320209307_0;40302;1;0;0;0
320209307_0;40305;1;0;0;0
320209307_0;40309;1;0;0;0
320209307_0;40310;1;0;0;0
320209307_0;40311;1;0;0;0
320209307_0;40313;2;0;0;0
320209307_0;40318;2;0;0;0
320209307_0;40321;1;0;0;0
320209307_0;40326;1;0;0;0
320209307_0;40328;1;0;0;0
320209307_0;40331;1;0;0;0
320209307_0;40332;2;0;0;0
320209307_0;40334;2;0;0;0
320209307_0;40335;1;0;0;0
320209307_0;40337;1;0;0;0
320209307_0;40338;2;0;0;0
320209307_0;40340;1;0;0;0
320209307_0;40343;2;0;0;0
320209307_0;40345;1;0;0;0
320209307_0;40347;1;0;0;0
320209307_0;40348;1;0;0;0
320209307_0;40349;1;0;0;0
320209307_0;40350;1;0;0;0
320209307_0;40352;2;0;0;0
320209307_0;40353;2;0;0;0
320209307_0;40354;1;0;0;0
320209307_0;40356;1;0;0;0
320209307_0;40357;1;0;0;0
320209307_0;40359;1;0;0;0
320209307_0;40362;1;0;0;0
320209307_0;40363;1;0;0;0
320209307_0;40364;1;0;0;0
320209307_0;40365;2;0;0;0
320209307_0;40367;1;0;0;0
320209307_0;40369;2;0;0;0
320209307_0;40373;1;0;0;0
320209307_0;40380;1;0;0;0
320209307_0;40382;1;0;0;0
320209307_0;40383;2;0;0;0
320209307_0;40384;1;0;0;0
320209307_0;40385;1;0;0;0
320209307_0;40386;1;0;0;0
320209307_0;40389;1;0;0;0
320209307_0;40390;1;0;0;0
320209307_0;40391;1;0;0;0
320209307_0;40394;1;0;0;0
320209307_0;40398;1;0;0;0
320209307_0;40399;1;0;0;0
320209307_0;40409;1;0;0;0
320209307_0;40410;1;0;0;0
320209307_0;40412;1;0;0;0
320209307_0;40413;1;0;0;0
320209307_0;40414;1;0;0;0
320209307_0;40420;2;0;0;0
320209307_0;40421;3;0;0;0
320209307_0;40422;1;0;0;0
320209307_0;40424;1;0;0;0
320209307_0;40425;2;0;0;0
320209307_0;40427;1;0;0;0
320209307_0;40431;1;0;0;0
320209307_0;40432;1;0;0;0
320209307_0;40435;2;0;0;0
320209307_0;40436;1;0;0;0
320209307_0;40437;1;0;0;0
320209307_0;40438;1;0;0;0
320209307_0;40439;2;0;0;0
320209307_0;40440;1;0;0;0
320209307_0;40441;1;0;0;0
320209307_0;40442;1;0;0;0
320209307_0;40443;1;0;0;0
320209307_0;40444;1;0;0;0
320209307_0;40446;2;0;0;0
320209307_0;40457;2;0;0;0
320209307_0;40458;1;0;0;0
320209307_0;40460;1;0;0;0
320209307_0;40462;1;0;0;0
320209307_0;40463;2;0;0;0
320209307_0;40465;3;0;0;0
320209307_0;40467;1;0;0;0
320209307_0;40469;1;0;0;0
320209307_0;40470;1;0;0;0
320209307_0;40472;3;0;0;0
320209307_0;40473;1;0;0;0
320209307_0;40475;2;0;0;0
320209307_0;40477;1;0;0;0
320209307_0;40478;2;0;0;0
320209307_0;40479;1;0;0;0
320209307_0;40482;2;0;0;0
320209307_0;40483;1;0;0;0
320209307_0;40488;1;0;0;0
320209307_0;40492;1;0;0;0
320209307_0;40493;1;0;0;0
320209307_0;40495;1;0;0;0
320209307_0;40496;2;0;0;0
320209307_0;40497;1;0;0;0
320209307_0;40500;1;0;0;0
320209307_0;40502;1;0;0;0
320209307_0;40504;1;0;0;0
320209307_0;40505;1;0;0;0
320209307_0;40511;1;0;0;0
